dog_id,dog_id_link,registered_name,registered_name_link,call_name,registration_#,whelp_date,deceased,dna_reg_#,cert_test_by,tested,cert_#___report_#,findings,test_date,total_dogs_in_pedigree:,3,oldest_generation:,0,529,9,pct_blood,occurs
74662,Dog_Detail?DogID=74662,GWEEBARRA'S MIDAS TOUCH AKA SCOUT,Dog_Detail?DogID=74662,SCOUT,WS34799602 (AKC),"Jul 14, 2010","Nov 27, 2022",,,,,,,,,,,,,,
74665,Dog_Detail?DogID=74665,GWEEBARRA'S MO-CHISMOS GOOD KARMA,Dog_Detail?DogID=74665,MO,WS34799604 (AKC),"Jul 14, 2010",,,,,,,,,,,,,,,
81098,Dog_Detail?DogID=81098,GWEEBARRA'S NANEZ BOSCO,Dog_Detail?DogID=81098,BOSCO,WS38331505 (AKC),"Aug 11, 2011",,,,,,,,,,,,,,,
81095,Dog_Detail?DogID=81095,GWEEBARRA'S NEW LOVE BELLA LE,Dog_Detail?DogID=81095,BELLA,"WS38331501 (AKC),  (AKC)","Aug 11, 2011",,,,,,,,,,,,,,,
81096,Dog_Detail?DogID=81096,GWEEBARRA'S NEWMAN,Dog_Detail?DogID=81096,RANGER,WS38331502 (AKC),"Aug 11, 2011","Dec 20, 2022",,,,,,,,,,,,,,
81097,Dog_Detail?DogID=81097,GWEEBARRA'S NOBLE,Dog_Detail?DogID=81097,FRITZ,WS38331504 (AKC),"Aug 11, 2011",,,,,,,,,,,,,,,
81099,Dog_Detail?DogID=81099,GWEEBARRA'S NO-NO NANETTE,Dog_Detail?DogID=81099,NETTY,WS38331503 (AKC),"Aug 11, 2011","Nov 25, 2022",V658878 (AKC),,,,,,,,,,,,,
89385,Dog_Detail?DogID=89385,GWEEBARRA'S O,Dog_Detail?DogID=89385,REVERY,WS41866101 (AKC),"Aug 12, 2012",,,,,,,,,,,,,,,
89386,Dog_Detail?DogID=89386,GWEEBARRA'S OH THE PLACES YOU'LL GO,Dog_Detail?DogID=89386,MIMI,WS41866102 (AKC),"Aug 12, 2012",,,,,,,,,,,,,,,
89388,Dog_Detail?DogID=89388,GWEEBARRA'S OLYMPIAN,Dog_Detail?DogID=89388,ZEUS,WS41866104 (AKC),"Aug 12, 2012",,,,,,,,,,,,,,,
